snr: 1.317410, var: 3.467551, inckl_gen:224.598953
snr: 1.413276, var: 2.426143, inckl_gen:182.452026
snr: 1.313994, var: 2.335796, inckl_gen:255.760529
snr: 1.266708, var: 2.058815, inckl_gen:266.303497
snr: 1.230220, var: 1.892547, inckl_gen:280.482727
snr: 1.138062, var: 1.885620, inckl_gen:313.162842
snr: 1.093752, var: 1.810772, inckl_gen:336.285248
snr: 1.071203, var: 1.900096, inckl_gen:418.793945
snr: 1.050446, var: 1.791692, inckl_gen:536.916931
snr: 1.045351, var: 1.886910, inckl_gen:307.907318
snr: 1.039763, var: 1.835658, inckl_gen:361.458252
snr: 1.040673, var: 1.824816, inckl_gen:337.993317
snr: 1.037963, var: 1.911719, inckl_gen:347.650940
snr: 1.036697, var: 1.781873, inckl_gen:294.042542
snr: 1.034806, var: 1.800736, inckl_gen:360.486206
snr: 1.034805, var: 1.895540, inckl_gen:467.630280
snr: 1.032873, var: 1.816866, inckl_gen:192.398544
snr: 1.035107, var: 1.738084, inckl_gen:398.239838
snr: 1.034431, var: 1.840749, inckl_gen:330.521149
snr: 1.032913, var: 1.792421, inckl_gen:319.062988
snr: 1.029050, var: 1.865740, inckl_gen:217.297409
snr: 1.030956, var: 1.776094, inckl_gen:295.270599
snr: 1.029015, var: 1.835583, inckl_gen:260.578949
snr: 1.029698, var: 1.879668, inckl_gen:340.695526
snr: 1.028752, var: 1.817075, inckl_gen:317.018494
snr: 1.027604, var: 1.886940, inckl_gen:371.601288
snr: 1.023492, var: 1.775896, inckl_gen:304.560150
snr: 1.027714, var: 1.807935, inckl_gen:236.237656
snr: 1.025710, var: 1.751633, inckl_gen:387.206757
snr: 1.023710, var: 1.827078, inckl_gen:354.294647
snr: 1.025759, var: 1.845543, inckl_gen:336.831390
snr: 1.021006, var: 1.856246, inckl_gen:296.631744
snr: 1.023245, var: 1.876309, inckl_gen:328.611877
snr: 1.018668, var: 1.855803, inckl_gen:215.297516
snr: 1.018181, var: 1.838995, inckl_gen:237.951523
snr: 1.015789, var: 1.921836, inckl_gen:271.981018
snr: 1.016127, var: 1.882881, inckl_gen:314.919281
snr: 1.015214, var: 1.959441, inckl_gen:397.949524
snr: 1.018524, var: 1.867841, inckl_gen:235.056747
snr: 1.016395, var: 1.952885, inckl_gen:191.525101
snr: 1.013498, var: 2.034492, inckl_gen:297.500183
snr: 1.014920, var: 2.052184, inckl_gen:215.464798
snr: 1.013968, var: 1.916687, inckl_gen:278.193268
snr: 1.013066, var: 1.919372, inckl_gen:322.851898
snr: 1.014314, var: 1.964411, inckl_gen:257.398834
snr: 1.013625, var: 1.957059, inckl_gen:276.058899
snr: 1.013437, var: 2.036527, inckl_gen:173.543808
snr: 1.012809, var: 2.119123, inckl_gen:328.267639
snr: 1.014784, var: 2.268113, inckl_gen:352.741058
snr: 1.015641, var: 2.347775, inckl_gen:261.734375
snr: 1.015687, var: 2.215710, inckl_gen:217.795975
snr: 1.013608, var: 2.346275, inckl_gen:231.090134
snr: 1.017064, var: 2.392158, inckl_gen:177.115280
snr: 1.014690, var: 2.273820, inckl_gen:143.567795
snr: 1.017318, var: 2.283428, inckl_gen:184.998047
snr: 1.021053, var: 2.354436, inckl_gen:214.150299
snr: 1.022046, var: 2.255380, inckl_gen:202.732346
snr: 1.030294, var: 2.294387, inckl_gen:217.402878
snr: 1.030971, var: 2.448695, inckl_gen:191.780838
snr: 1.032143, var: 2.481627, inckl_gen:225.015793
snr: 1.036725, var: 2.690529, inckl_gen:274.747864
snr: 1.043887, var: 2.627032, inckl_gen:239.573151
snr: 1.055849, var: 2.683265, inckl_gen:209.785507
snr: 1.072100, var: 2.853890, inckl_gen:197.637527
snr: 1.091946, var: 2.809407, inckl_gen:316.039459
snr: 1.103759, var: 2.788845, inckl_gen:380.863617
snr: 1.108227, var: 2.934453, inckl_gen:233.134079
snr: 1.106693, var: 2.957057, inckl_gen:137.747864
snr: 1.094689, var: 2.889098, inckl_gen:143.628906
snr: 1.096914, var: 2.690296, inckl_gen:168.187927
snr: 1.091486, var: 2.825538, inckl_gen:214.481369
snr: 1.089505, var: 3.069199, inckl_gen:108.802612
snr: 1.081279, var: 3.013302, inckl_gen:131.255478
snr: 1.082205, var: 2.838496, inckl_gen:151.016098
snr: 1.069594, var: 2.802292, inckl_gen:128.268402
snr: 1.071964, var: 2.923983, inckl_gen:232.603317
snr: 1.061676, var: 2.887139, inckl_gen:220.098923
snr: 1.074696, var: 3.116483, inckl_gen:108.353516
snr: 1.078085, var: 3.034115, inckl_gen:155.537308
snr: 1.087175, var: 3.026926, inckl_gen:86.231819
snr: 1.081743, var: 3.031652, inckl_gen:108.907005
snr: 1.087630, var: 3.063818, inckl_gen:30.323645
snr: 1.098195, var: 2.957175, inckl_gen:55.610146
snr: 1.105659, var: 2.959486, inckl_gen:54.116035
snr: 1.103138, var: 2.915321, inckl_gen:44.164108
snr: 1.112921, var: 2.701662, inckl_gen:20.479116
