TrueKL=855.995966, loss: 60.911783,  ess_rws: 1.139220,  ess_eta: 1.072403,  ess_z: 1.458325,  inckl_eta: 162.677163,  inckl_z: 26.000070
TrueKL=1433.283895, loss: 58.290442,  ess_rws: 1.300634,  ess_eta: 1.261931,  ess_z: 3.452964,  inckl_eta: 182.695316,  inckl_z: 9.864244
TrueKL=1665.335501, loss: 58.045974,  ess_rws: 1.371479,  ess_eta: 1.355267,  ess_z: 4.486962,  inckl_eta: 177.738330,  inckl_z: 7.621251
TrueKL=1707.915597, loss: 57.646272,  ess_rws: 1.338759,  ess_eta: 1.346139,  ess_z: 4.506459,  inckl_eta: 167.804319,  inckl_z: 7.495907
TrueKL=1701.458232, loss: 56.427041,  ess_rws: 1.296254,  ess_eta: 1.341972,  ess_z: 4.872675,  inckl_eta: 168.252891,  inckl_z: 7.088200
TrueKL=1677.223416, loss: 54.881787,  ess_rws: 1.253136,  ess_eta: 1.304595,  ess_z: 5.352285,  inckl_eta: 167.143479,  inckl_z: 6.477501
TrueKL=924.683271, loss: 62.942486,  ess_rws: 1.202521,  ess_eta: 1.144391,  ess_z: 2.116916,  inckl_eta: 133.502596,  inckl_z: 18.388627
TrueKL=1458.131040, loss: 59.475177,  ess_rws: 1.499615,  ess_eta: 1.458848,  ess_z: 4.821671,  inckl_eta: 146.374559,  inckl_z: 6.710139
TrueKL=1516.054134, loss: 58.930569,  ess_rws: 1.668609,  ess_eta: 1.640562,  ess_z: 5.879766,  inckl_eta: 134.696050,  inckl_z: 5.118080
TrueKL=1490.156331, loss: 58.157867,  ess_rws: 1.612365,  ess_eta: 1.590212,  ess_z: 6.709210,  inckl_eta: 129.897611,  inckl_z: 4.458916
TrueKL=1465.507149, loss: 57.390402,  ess_rws: 1.465285,  ess_eta: 1.514076,  ess_z: 7.379429,  inckl_eta: 131.674725,  inckl_z: 3.880211
TrueKL=1419.998863, loss: 56.358560,  ess_rws: 1.328678,  ess_eta: 1.431175,  ess_z: 7.502479,  inckl_eta: 133.432887,  inckl_z: 3.768450
TrueKL=1436.421284, loss: 55.004069,  ess_rws: 1.258817,  ess_eta: 1.337066,  ess_z: 7.353096,  inckl_eta: 144.238883,  inckl_z: 4.107623
TrueKL=1423.289353, loss: 53.397003,  ess_rws: 1.214428,  ess_eta: 1.288299,  ess_z: 7.203339,  inckl_eta: 149.371837,  inckl_z: 4.418377
TrueKL=1413.374339, loss: 52.309456,  ess_rws: 1.192141,  ess_eta: 1.254171,  ess_z: 7.514534,  inckl_eta: 150.896573,  inckl_z: 4.355354
TrueKL=1393.189868, loss: 51.249382,  ess_rws: 1.185900,  ess_eta: 1.239132,  ess_z: 7.816809,  inckl_eta: 151.823268,  inckl_z: 4.186629
TrueKL=1359.039950, loss: 50.220333,  ess_rws: 1.173040,  ess_eta: 1.229928,  ess_z: 8.301764,  inckl_eta: 148.003289,  inckl_z: 3.937787
TrueKL=1321.954264, loss: 49.248372,  ess_rws: 1.169384,  ess_eta: 1.220851,  ess_z: 8.903735,  inckl_eta: 144.294809,  inckl_z: 3.690541
TrueKL=1255.087474, loss: 48.161040,  ess_rws: 1.161961,  ess_eta: 1.212558,  ess_z: 9.823972,  inckl_eta: 137.107754,  inckl_z: 3.348753
TrueKL=1156.918685, loss: 46.755090,  ess_rws: 1.164589,  ess_eta: 1.222630,  ess_z: 10.859068,  inckl_eta: 123.228701,  inckl_z: 2.894293
TrueKL=1080.625580, loss: 44.223282,  ess_rws: 1.160452,  ess_eta: 1.258894,  ess_z: 12.070508,  inckl_eta: 112.739749,  inckl_z: 2.504972
TrueKL=1091.008965, loss: 40.879401,  ess_rws: 1.158116,  ess_eta: 1.343608,  ess_z: 12.724014,  inckl_eta: 102.788705,  inckl_z: 1.975241
TrueKL=1107.489848, loss: 36.247918,  ess_rws: 1.155040,  ess_eta: 1.651766,  ess_z: 11.743295,  inckl_eta: 111.050533,  inckl_z: 1.773101
TrueKL=897.202361, loss: 32.611215,  ess_rws: 1.154302,  ess_eta: 2.255498,  ess_z: 10.510318,  inckl_eta: 104.004885,  inckl_z: 1.608374
TrueKL=597.933600, loss: 30.437570,  ess_rws: 1.152341,  ess_eta: 2.675792,  ess_z: 10.158450,  inckl_eta: 87.567613,  inckl_z: 1.540912
TrueKL=417.471548, loss: 29.050463,  ess_rws: 1.157795,  ess_eta: 3.012852,  ess_z: 10.210995,  inckl_eta: 64.370531,  inckl_z: 1.461174
TrueKL=243.964066, loss: 27.580545,  ess_rws: 1.149565,  ess_eta: 3.398180,  ess_z: 10.404332,  inckl_eta: 46.070711,  inckl_z: 1.341035
TrueKL=137.225661, loss: 26.349748,  ess_rws: 1.153212,  ess_eta: 4.283386,  ess_z: 10.322172,  inckl_eta: 26.159828,  inckl_z: 1.222997
TrueKL=38.079029, loss: 25.100180,  ess_rws: 1.149221,  ess_eta: 7.523160,  ess_z: 9.248044,  inckl_eta: 10.638290,  inckl_z: 1.091028
TrueKL=6.575758, loss: 23.605139,  ess_rws: 1.151486,  ess_eta: 24.425346,  ess_z: 7.045454,  inckl_eta: 1.887431,  inckl_z: 0.992311
TrueKL=0.950160, loss: 22.709573,  ess_rws: 1.150547,  ess_eta: 45.057767,  ess_z: 6.236326,  inckl_eta: 0.231175,  inckl_z: 0.936552
TrueKL=0.486588, loss: 22.490775,  ess_rws: 1.147628,  ess_eta: 47.361969,  ess_z: 6.278673,  inckl_eta: 0.105921,  inckl_z: 0.883618
TrueKL=0.251545, loss: 22.368918,  ess_rws: 1.147251,  ess_eta: 48.597015,  ess_z: 6.344597,  inckl_eta: 0.066347,  inckl_z: 0.870450
TrueKL=0.465830, loss: 22.197336,  ess_rws: 1.147483,  ess_eta: 49.163345,  ess_z: 6.487305,  inckl_eta: 0.381593,  inckl_z: 0.833137
TrueKL=0.130465, loss: 22.084861,  ess_rws: 1.145544,  ess_eta: 49.458222,  ess_z: 6.704742,  inckl_eta: 0.048883,  inckl_z: 0.795240
TrueKL=0.364463, loss: 22.057680,  ess_rws: 1.154590,  ess_eta: 49.643169,  ess_z: 6.763307,  inckl_eta: 0.046214,  inckl_z: 0.787651
TrueKL=0.030468, loss: 21.836257,  ess_rws: 1.144060,  ess_eta: 49.759428,  ess_z: 7.020799,  inckl_eta: 0.043374,  inckl_z: 0.759039
TrueKL=0.023324, loss: 22.032800,  ess_rws: 1.147901,  ess_eta: 49.816870,  ess_z: 7.074770,  inckl_eta: 0.042247,  inckl_z: 0.742168
TrueKL=0.044803, loss: 21.839925,  ess_rws: 1.149908,  ess_eta: 49.856510,  ess_z: 7.072152,  inckl_eta: 0.045259,  inckl_z: 0.729000
TrueKL=0.080205, loss: 21.678112,  ess_rws: 1.147857,  ess_eta: 49.874930,  ess_z: 7.227200,  inckl_eta: 0.042452,  inckl_z: 0.707196
TrueKL=0.006522, loss: 21.767773,  ess_rws: 1.152665,  ess_eta: 49.890475,  ess_z: 7.319818,  inckl_eta: 0.042378,  inckl_z: 0.685216
TrueKL=0.001667, loss: 21.622706,  ess_rws: 1.152344,  ess_eta: 49.896556,  ess_z: 7.456354,  inckl_eta: 0.041196,  inckl_z: 0.666579
