snr: 17.629745, var: 8.816622
snr: 20.081310, var: 10.956968
snr: 18.460207, var: 8.976782
snr: 22.294521, var: 7.844808
snr: 27.929785, var: 8.758635
snr: 27.347647, var: 8.750634
snr: 31.393438, var: 8.769218
snr: 27.598869, var: 9.129782
snr: 34.728188, var: 9.089140
snr: 33.467339, var: 8.404477
snr: 31.795601, var: 8.148869
snr: 30.293535, var: 9.079932
snr: 32.250233, var: 8.938121
snr: 25.198187, var: 9.156281
snr: 31.463839, var: 9.349675
snr: 32.487907, var: 9.556481
snr: 38.460999, var: 9.976634
snr: 45.235966, var: 10.332510
snr: 60.093193, var: 10.709012
snr: 66.099976, var: 12.266223
snr: 71.998718, var: 11.722757
snr: 88.107246, var: 12.278764
snr: 120.432892, var: 11.721147
snr: 150.941589, var: 10.399819
snr: 191.364304, var: 10.422090
snr: 230.625046, var: 5.079323
snr: 211.474930, var: 4.434644
snr: 220.605133, var: 6.812574
snr: 212.244003, var: 4.691216
snr: 230.570419, var: 4.502630
snr: 232.484680, var: 4.316748
snr: 287.365051, var: 4.425216
snr: 271.996033, var: 4.310753
snr: 260.598358, var: 4.213384
snr: 277.387054, var: 4.397043
snr: 274.664490, var: 4.862559
snr: 245.731323, var: 4.593135
snr: 339.742157, var: 4.884740
snr: 293.387878, var: 4.936943
snr: 352.605377, var: 4.886193
snr: 304.571808, var: 4.717040
snr: 274.663483, var: 5.201545
snr: 339.741882, var: 5.940031
snr: 302.922760, var: 4.955947
snr: 304.571777, var: 5.236454
snr: 293.389099, var: 5.053808
snr: 302.922363, var: 4.986364
snr: 287.360199, var: 6.007080
snr: 331.677979, var: 5.203686
snr: 314.863708, var: 5.441893
snr: 253.516708, var: 4.965688
snr: 307.927551, var: 5.323025
snr: 290.345215, var: 5.389761
snr: 311.365692, var: 5.441581
snr: 322.141541, var: 6.595861
snr: 314.871185, var: 6.352993
snr: 325.888855, var: 7.711440
snr: 339.754700, var: 5.976988
snr: 352.615540, var: 5.482929
snr: 329.728943, var: 5.688730
snr: 364.116486, var: 5.597843
snr: 290.380707, var: 5.676429
snr: 284.506836, var: 6.134646
snr: 431.739563, var: 7.250946
snr: 389.505676, var: 6.184199
snr: 296.496979, var: 5.580278
snr: 352.655762, var: 5.962831
snr: 307.929230, var: 6.539233
snr: 304.605835, var: 5.611534
snr: 287.428223, var: 6.939471
snr: 284.472382, var: 6.398046
snr: 293.504120, var: 6.701126
snr: 331.748779, var: 23.999535
snr: 290.443542, var: 9.089896
snr: 280.222565, var: 7.135825
snr: 357.138000, var: 7.746674
snr: 364.257050, var: 6.233098
snr: 331.882233, var: 6.642371
snr: 359.815125, var: 6.251919
snr: 374.494659, var: 6.568386
snr: 390.168915, var: 6.795680
snr: 282.385468, var: 6.425524
snr: 282.443024, var: 7.914620
snr: 278.464783, var: 6.471833
snr: 374.967468, var: 6.999391
snr: 344.401825, var: 7.233687
snr: 447.803741, var: 8.356959
snr: 381.570862, var: 6.886001
snr: 299.289246, var: 7.335560
snr: 354.066254, var: 7.024269
snr: 364.722961, var: 6.720227
snr: 403.553070, var: 6.893706
snr: 479.385193, var: 7.764209
snr: 331.515625, var: 8.117099
snr: 374.012604, var: 7.905876
snr: 380.812744, var: 7.056785
snr: 528.607300, var: 6.758883
snr: 489.531250, var: 7.336232
snr: 377.487152, var: 7.661052
snr: 443.337067, var: 7.083505
