time:59, inckl:75.459995
time:120, inckl:135.887110
time:176, inckl:225.955254
time:245, inckl:304.372101
time:301, inckl:370.978528
time:360, inckl:450.112174
time:415, inckl:414.963179
time:476, inckl:482.664723
time:543, inckl:446.779169
time:616, inckl:471.494443
time:687, inckl:463.396077
time:737, inckl:473.477104
time:785, inckl:500.759523
time:836, inckl:422.760507
time:886, inckl:519.666371
time:936, inckl:532.250879
time:986, inckl:493.035724
time:1036, inckl:466.431792
time:1086, inckl:479.398931
time:1136, inckl:477.728814
time:1186, inckl:483.981357
time:1236, inckl:459.513278
time:1287, inckl:489.344284
time:1338, inckl:538.458079
time:1386, inckl:561.496704
time:1435, inckl:638.267265
time:1484, inckl:601.593351
time:1532, inckl:543.218451
time:1580, inckl:570.955137
time:1628, inckl:558.568622
time:1676, inckl:534.013760
time:1725, inckl:516.232204
time:1775, inckl:586.232423
time:1826, inckl:553.198770
time:1876, inckl:570.413672
time:1926, inckl:530.992669
time:1977, inckl:570.688287
time:2027, inckl:615.177762
time:2077, inckl:589.217364
time:2127, inckl:567.443712
time:2178, inckl:605.322612
time:2228, inckl:703.446830
time:2278, inckl:676.596324
time:2328, inckl:590.219902
time:2379, inckl:539.914122
time:2429, inckl:567.270167
time:2479, inckl:581.358033
time:2530, inckl:577.370166
time:2580, inckl:580.309361
time:2630, inckl:646.254212
time:2680, inckl:573.132014
time:2730, inckl:597.073624
time:2777, inckl:592.632083
time:2825, inckl:564.375378
time:2871, inckl:583.961884
time:2918, inckl:639.037444
time:2965, inckl:600.419730
time:3012, inckl:578.969792
time:3059, inckl:603.927592
time:3106, inckl:545.766333
time:3153, inckl:595.431418
time:3200, inckl:660.701705
time:3247, inckl:628.845984
time:3294, inckl:632.255286
time:3343, inckl:651.192803
time:3393, inckl:613.520190
time:3444, inckl:634.041572
time:3494, inckl:630.716962
time:3544, inckl:569.086439
time:3594, inckl:590.739545
time:3644, inckl:602.782973
time:3694, inckl:628.270520
time:3744, inckl:633.023057
time:3794, inckl:613.465175
time:3843, inckl:582.410022
time:3893, inckl:569.472998
time:3943, inckl:597.204177
time:3989, inckl:597.601225
time:4036, inckl:598.423959
time:4083, inckl:586.510840
time:4129, inckl:610.792813
time:4179, inckl:585.094940
time:4228, inckl:652.045128
time:4279, inckl:585.335762
time:4328, inckl:603.356889
time:4375, inckl:614.001508
time:4422, inckl:544.732166
time:4468, inckl:612.203755
time:4518, inckl:614.984198
time:4568, inckl:659.018674
time:4618, inckl:611.992843
time:4668, inckl:581.552104
time:4719, inckl:613.494334
time:4767, inckl:567.382100
time:4815, inckl:583.134772
time:4865, inckl:598.961544
time:4914, inckl:618.236229
time:4961, inckl:584.633677
time:5009, inckl:589.171252
time:5059, inckl:634.246254
time:5108, inckl:616.122841
time:5157, inckl:616.551073
time:5207, inckl:627.992969
time:5257, inckl:581.173593
time:5307, inckl:570.363212
time:5358, inckl:578.032930
time:5408, inckl:563.803740
time:5454, inckl:589.143106
time:5501, inckl:594.736303
time:5548, inckl:578.894531
time:5595, inckl:560.980593
time:5642, inckl:588.791387
time:5689, inckl:565.869639
time:5735, inckl:608.656412
time:5782, inckl:583.010352
time:5829, inckl:600.698610
time:5875, inckl:571.326767
time:5922, inckl:584.170162
time:5969, inckl:601.795598
time:6015, inckl:598.551598
time:6062, inckl:606.088038
time:6109, inckl:599.369564
time:6156, inckl:630.428180
time:6202, inckl:587.583203
time:6250, inckl:572.268865
time:6296, inckl:582.175299
time:6343, inckl:581.215283
time:6390, inckl:534.972188
time:6437, inckl:581.812800
time:6483, inckl:561.463326
time:6530, inckl:569.126373
time:6577, inckl:564.410631
time:6624, inckl:561.690722
time:6671, inckl:610.355468
time:6717, inckl:578.973252
time:6764, inckl:577.869601
time:6810, inckl:586.418087
time:6857, inckl:579.304195
time:6903, inckl:566.476079
time:6953, inckl:563.651730
time:7003, inckl:552.747155
time:7053, inckl:529.153261
time:7103, inckl:553.211171
time:7153, inckl:562.171975
time:7203, inckl:545.430168
time:7253, inckl:527.940258
time:7302, inckl:556.121895
time:7351, inckl:526.663280
time:7399, inckl:577.795466
time:7446, inckl:556.720234
