(239s) loss: 318.970249,  ess_sis: 1.057484
(239s) loss: 304.055600,  ess_sis: 1.229319
(238s) loss: 301.125900,  ess_sis: 1.287669
(238s) loss: 300.860446,  ess_sis: 1.287500
(238s) loss: 300.752576,  ess_sis: 1.294418
(239s) loss: 300.618705,  ess_sis: 1.288226
(239s) loss: 300.395540,  ess_sis: 1.300387
(240s) loss: 300.508216,  ess_sis: 1.308250
(238s) loss: 300.318103,  ess_sis: 1.340652
(239s) loss: 300.447967,  ess_sis: 1.459685
(239s) loss: 300.665142,  ess_sis: 1.708715
(237s) loss: 300.438732,  ess_sis: 1.818268
(239s) loss: 300.214035,  ess_sis: 1.823379
(238s) loss: 299.805878,  ess_sis: 1.794592
(239s) loss: 299.150920,  ess_sis: 1.811745
(238s) loss: 298.357522,  ess_sis: 1.788141
(237s) loss: 298.164948,  ess_sis: 1.778621
(238s) loss: 298.192751,  ess_sis: 1.796184
(240s) loss: 297.753163,  ess_sis: 1.777599
(238s) loss: 298.046753,  ess_sis: 1.760872
(239s) loss: 298.498004,  ess_sis: 1.746723
(239s) loss: 298.362247,  ess_sis: 1.756235
(239s) loss: 298.707664,  ess_sis: 1.780891
(238s) loss: 298.700807,  ess_sis: 1.789106
(238s) loss: 298.526445,  ess_sis: 1.840180
(238s) loss: 275.722572,  ess_sis: 1.691279
(239s) loss: 211.117261,  ess_sis: 1.533515
(237s) loss: 157.902563,  ess_sis: 1.480394
(199s) loss: 124.050105,  ess_sis: 1.494454
(193s) loss: 104.627599,  ess_sis: 1.506264
