snr: 1.057885, var: 2.137358, inckl_gen:283.523407
snr: 1.076149, var: 2.490217, inckl_gen:198.602020
snr: 1.070734, var: 2.271152, inckl_gen:366.342407
snr: 1.059929, var: 2.050984, inckl_gen:294.355560
snr: 1.047670, var: 2.009037, inckl_gen:522.148132
snr: 1.039145, var: 1.951365, inckl_gen:487.717102
snr: 1.034489, var: 1.701572, inckl_gen:441.924072
snr: 1.026865, var: 1.755111, inckl_gen:501.290039
snr: 1.024931, var: 1.634727, inckl_gen:587.865234
snr: 1.024588, var: 1.720315, inckl_gen:465.214020
snr: 1.027993, var: 1.637800, inckl_gen:506.167786
snr: 1.021307, var: 1.541284, inckl_gen:342.086487
snr: 1.020127, var: 1.599140, inckl_gen:369.237915
snr: 1.019609, var: 1.620711, inckl_gen:438.899139
snr: 1.020722, var: 1.485335, inckl_gen:355.292206
snr: 1.017727, var: 1.535972, inckl_gen:475.260712
snr: 1.019056, var: 1.521639, inckl_gen:646.010315
snr: 1.019350, var: 1.580724, inckl_gen:562.243591
snr: 1.017776, var: 1.587651, inckl_gen:428.776123
snr: 1.018847, var: 1.592912, inckl_gen:540.980408
snr: 1.021024, var: 1.496533, inckl_gen:377.056732
snr: 1.016112, var: 1.574828, inckl_gen:673.957275
snr: 1.018782, var: 1.587728, inckl_gen:557.174622
snr: 1.019790, var: 1.605701, inckl_gen:522.797180
snr: 1.017820, var: 1.579647, inckl_gen:443.444183
snr: 1.017150, var: 1.643124, inckl_gen:496.305389
snr: 1.021758, var: 1.691454, inckl_gen:472.734589
snr: 1.023041, var: 1.559342, inckl_gen:527.085999
snr: 1.019126, var: 1.509496, inckl_gen:514.656677
snr: 1.017375, var: 1.478605, inckl_gen:464.155365
snr: 1.018310, var: 1.600745, inckl_gen:267.243011
snr: 1.019936, var: 1.565383, inckl_gen:344.474091
snr: 1.018117, var: 1.478049, inckl_gen:503.476715
snr: 1.019252, var: 1.548661, inckl_gen:452.955292
snr: 1.018510, var: 1.538031, inckl_gen:443.861664
snr: 1.016720, var: 1.448175, inckl_gen:487.995026
snr: 1.018069, var: 1.479938, inckl_gen:404.224121
snr: 1.016962, var: 1.382072, inckl_gen:575.168396
snr: 1.014719, var: 1.423835, inckl_gen:613.188660
snr: 1.017549, var: 1.432477, inckl_gen:572.665527
snr: 1.011657, var: 1.425701, inckl_gen:382.569489
snr: 1.013921, var: 1.425048, inckl_gen:348.784912
snr: 1.015988, var: 1.349401, inckl_gen:486.696930
snr: 1.014673, var: 1.457242, inckl_gen:437.592865
snr: 1.012049, var: 1.421910, inckl_gen:449.403473
snr: 1.012726, var: 1.396701, inckl_gen:618.896484
snr: 1.010815, var: 1.350893, inckl_gen:311.465424
snr: 1.011464, var: 1.392588, inckl_gen:642.537903
snr: 1.012924, var: 1.487500, inckl_gen:334.499725
snr: 1.011916, var: 1.421099, inckl_gen:340.715973
snr: 1.011202, var: 1.443219, inckl_gen:356.142731
snr: 1.009542, var: 1.441456, inckl_gen:336.439514
