snr: 1.013535, var: 9.393169, inckl_gen:168.724472
snr: 1.014086, var: 11.669444, inckl_gen:182.697784
snr: 1.012761, var: 11.348330, inckl_gen:248.246872
snr: 1.012849, var: 10.721272, inckl_gen:267.329987
snr: 1.015631, var: 10.226082, inckl_gen:210.684433
snr: 1.012746, var: 10.596687, inckl_gen:224.743851
snr: 1.010603, var: 10.368056, inckl_gen:327.726715
snr: 1.009972, var: 9.489364, inckl_gen:216.250168
snr: 1.011008, var: 10.218210, inckl_gen:418.126801
snr: 1.009318, var: 8.514048, inckl_gen:245.363480
snr: 1.013024, var: 8.762165, inckl_gen:259.261444
snr: 1.009261, var: 8.640248, inckl_gen:194.812607
snr: 1.011554, var: 8.760830, inckl_gen:313.423309
snr: 1.009053, var: 8.535634, inckl_gen:276.896271
snr: 1.012642, var: 8.936235, inckl_gen:249.324860
snr: 1.009085, var: 8.057644, inckl_gen:446.772522
snr: 1.011660, var: 8.287266, inckl_gen:337.618225
snr: 1.006118, var: 8.105867, inckl_gen:344.519287
snr: 1.008115, var: 8.668849, inckl_gen:328.924622
snr: 1.006531, var: 8.816270, inckl_gen:307.660065
snr: 1.005370, var: 7.967448, inckl_gen:350.483063
snr: 1.005686, var: 7.654108, inckl_gen:274.898743
snr: 1.006608, var: 7.309042, inckl_gen:312.929413
snr: 1.007748, var: 8.191305, inckl_gen:267.120087
snr: 1.004925, var: 7.677117, inckl_gen:368.254242
snr: 1.005312, var: 8.007624, inckl_gen:283.645599
snr: 1.007200, var: 7.562216, inckl_gen:478.215729
snr: 1.005731, var: 7.639119, inckl_gen:250.618088
snr: 1.005230, var: 7.479355, inckl_gen:397.482178
snr: 1.006504, var: 7.327673, inckl_gen:474.735352
snr: 1.004421, var: 7.273723, inckl_gen:383.538055
snr: 1.006432, var: 7.714681, inckl_gen:528.400574
snr: 1.004689, var: 7.847972, inckl_gen:396.679504
snr: 1.004430, var: 7.628813, inckl_gen:264.958313
snr: 1.003986, var: 7.818598, inckl_gen:499.565338
snr: 1.003980, var: 7.670281, inckl_gen:352.342072
snr: 1.006757, var: 7.503623, inckl_gen:340.654938
snr: 1.005921, var: 7.608682, inckl_gen:337.488190
snr: 1.006641, var: 7.500847, inckl_gen:459.212860
snr: 1.006517, var: 7.687921, inckl_gen:252.566513
snr: 1.003539, var: 7.407581, inckl_gen:514.661438
snr: 1.006047, var: 7.328401, inckl_gen:440.140930
snr: 1.005816, var: 7.405071, inckl_gen:388.064667
snr: 1.003482, var: 7.805097, inckl_gen:385.885742
snr: 1.004218, var: 7.276042, inckl_gen:417.147949
snr: 1.006438, var: 7.302628, inckl_gen:464.476471
snr: 1.004528, var: 7.229016, inckl_gen:407.562683
snr: 1.004636, var: 7.314604, inckl_gen:536.219788
snr: 1.004245, var: 7.531978, inckl_gen:471.365448
snr: 1.005365, var: 7.348435, inckl_gen:502.352539
snr: 1.004525, var: 8.315199, inckl_gen:593.156677
snr: 1.004169, var: 7.325565, inckl_gen:408.431091
snr: 1.006449, var: 7.142428, inckl_gen:350.457275
snr: 1.006006, var: 6.983066, inckl_gen:402.781067
snr: 1.004357, var: 7.197598, inckl_gen:547.605896
snr: 1.005418, var: 7.255233, inckl_gen:594.172363
snr: 1.006576, var: 7.465127, inckl_gen:379.105743
snr: 1.007178, var: 6.659024, inckl_gen:561.438904
snr: 1.004463, var: 7.170565, inckl_gen:434.276672
snr: 1.004779, var: 7.335186, inckl_gen:355.725464
snr: 1.004989, var: 7.525149, inckl_gen:454.502747
snr: 1.004123, var: 7.290876, inckl_gen:404.767944
snr: 1.005211, var: 6.915597, inckl_gen:379.203186
snr: 1.003651, var: 7.437020, inckl_gen:388.147552
snr: 1.003734, var: 7.491706, inckl_gen:342.140717
snr: 1.005589, var: 7.363841, inckl_gen:537.257324
snr: 1.004721, var: 7.618535, inckl_gen:409.770599
snr: 1.004484, var: 7.025570, inckl_gen:322.149750
snr: 1.004836, var: 7.166820, inckl_gen:441.585114
snr: 1.005418, var: 6.874193, inckl_gen:354.312164
snr: 1.003471, var: 6.908501, inckl_gen:443.221100
snr: 1.003956, var: 7.434485, inckl_gen:347.252136
snr: 1.005885, var: 7.252366, inckl_gen:397.599213
snr: 1.004871, var: 7.394317, inckl_gen:350.313232
snr: 1.006976, var: 6.970963, inckl_gen:391.155121
snr: 1.004539, var: 7.360992, inckl_gen:373.543793
snr: 1.007626, var: 7.202281, inckl_gen:385.683929
snr: 1.005659, var: 7.158156, inckl_gen:256.964325
snr: 1.004970, var: 7.221460, inckl_gen:319.668610
snr: 1.003333, var: 7.291428, inckl_gen:694.291748
snr: 1.003583, var: 7.035094, inckl_gen:510.857666
snr: 1.003217, var: 7.015222, inckl_gen:362.149872
snr: 1.005106, var: 6.941559, inckl_gen:434.255676
snr: 1.003957, var: 6.843175, inckl_gen:305.814667
snr: 1.003391, var: 7.392101, inckl_gen:442.911224
snr: 1.003989, var: 7.694251, inckl_gen:462.930084
snr: 1.004798, var: 6.815102, inckl_gen:407.960571
snr: 1.004493, var: 7.434692, inckl_gen:448.793365
snr: 1.005210, var: 6.974566, inckl_gen:451.556152
snr: 1.003461, var: 7.266668, inckl_gen:330.060211
snr: 1.004679, var: 6.752758, inckl_gen:522.477539
snr: 1.004446, var: 7.211805, inckl_gen:364.496674
snr: 1.003972, var: 6.922020, inckl_gen:408.422333
