(344s) loss: 656.937607,  ess_sis: 1.030744
(341s) loss: 626.118520,  ess_sis: 1.069032
(319s) loss: 610.972114,  ess_sis: 1.108092
(341s) loss: 605.385629,  ess_sis: 1.127933
(326s) loss: 602.807833,  ess_sis: 1.135120
(319s) loss: 601.631117,  ess_sis: 1.141562
(330s) loss: 601.550033,  ess_sis: 1.141116
(338s) loss: 601.618732,  ess_sis: 1.143004
(319s) loss: 601.362787,  ess_sis: 1.143644
(330s) loss: 601.339043,  ess_sis: 1.145814
(345s) loss: 600.599808,  ess_sis: 1.145174
(341s) loss: 600.861220,  ess_sis: 1.145198
(331s) loss: 600.400538,  ess_sis: 1.146078
(328s) loss: 600.579813,  ess_sis: 1.146916
(336s) loss: 601.142829,  ess_sis: 1.147457
(326s) loss: 601.864504,  ess_sis: 1.147135
(344s) loss: 600.889456,  ess_sis: 1.146941
(325s) loss: 600.270566,  ess_sis: 1.147473
(325s) loss: 601.163519,  ess_sis: 1.150772
(339s) loss: 600.706728,  ess_sis: 1.146742
(348s) loss: 601.402429,  ess_sis: 1.150281
(347s) loss: 600.945723,  ess_sis: 1.158651
(335s) loss: 601.007549,  ess_sis: 1.164964
(343s) loss: 600.552767,  ess_sis: 1.182963
(330s) loss: 601.015235,  ess_sis: 1.196605
(342s) loss: 601.785823,  ess_sis: 1.213836
(350s) loss: 601.690357,  ess_sis: 1.234943
(341s) loss: 602.094156,  ess_sis: 1.253979
(340s) loss: 602.864019,  ess_sis: 1.262277
(341s) loss: 603.736618,  ess_sis: 1.265867
