EUBOs, ELBOs, ESSs
-40240.6093597, -341062.248938, 1.01946133375
-357.242376709, -716.677618408, 1.04626690149
-329.614645386, -462.285415649, 1.08669246435
-327.569540405, -423.17857666, 1.13169584274
-295.972753906, -389.95802002, 1.15512381792
-335.610968018, -4574.75784912, 1.11318062544
-494.77743988, -9394.48491516, 1.13341840506
-244.832749939, -478.004452515, 1.15242023468
-248.12363739, -1032.79595337, 1.15287646055
-236.872517395, -721.24382019, 1.14448231459
-226.980154419, -530.534729004, 1.17834746838
-225.364463806, -447.375939941, 1.1938211441
-221.012954712, -426.43430481, 1.19884490967
-219.489692688, -370.189068604, 1.22056405544
-216.30690918, -384.260061646, 1.2117380619
-213.924777222, -338.378387451, 1.23807086945
-212.846057129, -336.235107422, 1.23959400654
-211.75761261, -313.562460327, 1.25682100058
-210.373843384, -314.222238159, 1.25496389866
-209.463647461, -306.183154297, 1.26911487579
-208.270210266, -297.036160278, 1.28541055918
-206.486253357, -287.013742065, 1.30368164778
-205.440905762, -282.867025757, 1.32380239964
-205.186479187, -275.141687012, 1.3370259285
-204.008267212, -274.729098511, 1.3505084157
-203.175410461, -266.878102112, 1.33427933455
-202.492678833, -261.95944519, 1.35861725807
-201.854734802, -258.692578125, 1.39119222164
-201.032957458, -253.280879211, 1.40023989677
-200.396235657, -249.785710144, 1.40226635933
-199.434506226, -246.798486328, 1.42058309317
-198.933261108, -244.2512146, 1.42718936205
-198.29402771, -239.838116455, 1.45108318329
-197.749266052, -238.067269897, 1.47124935389
-197.284605408, -235.41162262, 1.47684167624
-196.274497986, -233.345318604, 1.49008111954
-196.185169983, -232.388049316, 1.48937860727
-195.579890442, -230.525872803, 1.4971862793
-195.624554443, -229.757058716, 1.51277410984
-195.440524292, -229.28616333, 1.53650107384
-194.950193787, -228.472097778, 1.51807365417
-194.367256165, -227.646983337, 1.51544966698
-194.098890686, -227.619049072, 1.51903688908
-193.478399658, -226.675808716, 1.52839341164
-193.608305359, -226.409516907, 1.50962209702
-193.462483215, -226.366120911, 1.52090870142
-193.35133667, -226.373124695, 1.53220148087
-192.662113953, -225.987953186, 1.51786822081
-192.228556824, -225.264779663, 1.50503095388
-192.069573975, -225.109094238, 1.50910129547
-192.086433411, -224.631706238, 1.51369496584
-191.156486511, -223.81632843, 1.49332787991
-191.1802948, -224.435255432, 1.48512643576
-190.889263916, -223.805685425, 1.49088895321
-190.254800415, -223.679104614, 1.49092082977
-190.660821533, -223.672868347, 1.49290853739
-190.337705994, -223.601367187, 1.4831551075
-190.012449646, -223.098576355, 1.49417011738
-189.784542847, -223.124053955, 1.50036364794
-189.323484802, -223.09879303, 1.49672368765
-189.269351196, -222.881257629, 1.48720676899
-189.076068115, -223.169868469, 1.46728931665
-189.027217102, -222.84894104, 1.4806622386
-188.952046204, -222.952597046, 1.48547604084
-188.649017334, -222.467895508, 1.47867894173
-188.246487427, -222.221510315, 1.46631172895
-188.242500305, -222.057090759, 1.47039972544
-188.18968811, -221.98188324, 1.46892586946
-188.215696716, -222.111714172, 1.48196038008
-187.879832458, -221.603141785, 1.45295287371
-187.792463684, -221.469863892, 1.47090786695
-187.43911438, -222.021939087, 1.43922431469
-187.909922791, -221.901708984, 1.4681412816
-187.146490479, -221.582434082, 1.45630602837
-187.190567017, -222.071337891, 1.44855668545
-186.764555359, -221.628001404, 1.44181691408
-186.953820801, -221.413179016, 1.48149882555
-186.831791687, -220.620048523, 1.46004195213
-186.496647644, -221.001095581, 1.44348965883
-186.401089478, -220.735319519, 1.45841802359
-186.440046692, -220.872627258, 1.46468381882
-186.415567017, -220.406240845, 1.47922042608
-185.951747131, -220.193440247, 1.46995890141
-185.933126831, -220.008718872, 1.45914314985
-186.068995667, -220.502766418, 1.45906690359
-185.543637085, -219.703500366, 1.47034957409
-185.748544312, -219.931265259, 1.46731188297
-185.45912323, -219.641499329, 1.46480301619
-185.252110291, -220.273568726, 1.47072894573
-185.34710083, -220.246716309, 1.45680732727
-185.328988647, -219.769076538, 1.45695152283
-185.150785828, -219.228826904, 1.48537226915
-184.850866699, -219.622108459, 1.46309021711
-184.975086975, -218.879800415, 1.47912220955
-184.799395752, -218.942242432, 1.47737990618
-184.39294281, -218.693612671, 1.47130355835
-184.154426575, -218.422807312, 1.47595543861
-184.838537598, -218.55043335, 1.47696639299
-184.181939697, -218.077272034, 1.47963883877
-184.069657898, -217.867375183, 1.47795155048
-184.017207336, -217.817953491, 1.47403850555
-184.050398254, -217.509317017, 1.47617309093
-183.7118927, -217.603097534, 1.47517764568
-183.81449585, -217.391479492, 1.48538918495
-183.658323669, -217.431307983, 1.47650449276
-183.357402039, -216.858398438, 1.49146214724
-183.278166199, -216.533375549, 1.48536242247
-183.291880798, -216.986134338, 1.48458433151
-183.320976257, -216.472523499, 1.50130041838
-182.468563843, -215.894636536, 1.48865306377
-182.584666443, -215.642318726, 1.50163037777
-182.621340942, -215.460241699, 1.50298171043
-182.84200592, -215.638201904, 1.49371249676
-182.258129883, -215.748890686, 1.48385254145
-182.072624207, -215.053788757, 1.48712098598
-182.332377625, -215.766239929, 1.4966402173
-182.326287842, -215.511453247, 1.48182082176
-182.132061768, -214.838796997, 1.49575833082
-181.892292786, -214.911621094, 1.50192182064
-182.292384338, -214.767704773, 1.48674668074
-181.704356384, -214.306646729, 1.49136066437
-181.617752075, -213.933668518, 1.48890920877
-181.534776306, -213.835003662, 1.50310783386
-181.280610657, -213.57988739, 1.50127944946
-180.895619202, -213.535624695, 1.48680753708
-181.056300354, -213.641891479, 1.49269875288
-180.791152954, -213.38747406, 1.50111552477
-180.849980164, -213.215203857, 1.50331231356
-180.679374695, -213.089224243, 1.48061724901
-180.502409363, -212.716493225, 1.48726705313
-180.732479858, -212.80665741, 1.50228478909
-180.406134033, -212.257730103, 1.50074474812
-180.288096619, -212.580001831, 1.4849493742
-180.288278198, -211.797050476, 1.5068588376
-180.327352905, -212.311386108, 1.49903260469
-180.392677307, -211.907058716, 1.51160447598
-180.210784912, -211.837329102, 1.50583600998
-179.586212158, -211.147816467, 1.51218429804
-179.615603638, -210.858857727, 1.52585395575
-179.400169373, -211.256695557, 1.51651595831
-179.578405762, -210.92167511, 1.49297542572
-179.317141724, -210.602891541, 1.52173324823
-179.307859802, -210.366618347, 1.50897941589
-179.378009033, -210.671066284, 1.51334118843
-179.248898315, -210.004864502, 1.51281657219
-179.021182251, -209.995812988, 1.5155698657
-178.639672852, -210.007485962, 1.51563613415
-178.952775574, -209.879067993, 1.52847104073
-178.952964783, -209.507171631, 1.5264157176
-178.593763733, -209.220988464, 1.5116643548
-178.358135986, -209.572357178, 1.52327988148
-178.430276489, -209.18994751, 1.52448083162
-178.557116699, -208.542962646, 1.54563957453
-178.555838013, -208.805244446, 1.53545538187
-178.543675232, -209.410691833, 1.51208084822
-178.410852051, -208.790794373, 1.5428560853
-178.405496216, -208.90007019, 1.52145624161
-178.232397461, -208.868521118, 1.52903143167
-178.115281677, -208.812857056, 1.5400336504
-178.071238708, -208.691592407, 1.50583108664
-177.989129639, -208.095581055, 1.53616460562
-177.893013, -208.496000671, 1.53121806383
-177.536181641, -208.022096252, 1.54001382589
-177.733206177, -208.043788147, 1.53940192461
-177.657189941, -208.020257568, 1.52988044024
-177.653611755, -207.641433716, 1.55271393061
-177.75843811, -207.622659302, 1.53666001558
-177.376898193, -207.630696106, 1.53299232721
-177.510429382, -207.440618896, 1.55497934818
-177.500479126, -207.204750061, 1.56604050398
-177.477468872, -207.093016052, 1.55681760311
-177.227067566, -207.348960876, 1.52700270414
-177.593051147, -207.183174133, 1.54061448574
-176.920498657, -206.578686523, 1.5622464776
-177.338304138, -207.235562134, 1.53872275352
-176.970602417, -206.620053101, 1.56244189739
-177.172149658, -206.579473877, 1.5647439003
-176.917710876, -206.82341156, 1.56018738747
-176.746228027, -206.417906189, 1.53939640522
-176.872772217, -206.401947021, 1.56421462297
-176.589854431, -206.476748657, 1.5368352294
-176.840428162, -206.41089325, 1.53799710274
-177.172874451, -206.532069397, 1.54940910339
-176.734953308, -206.415921021, 1.5445573926
-176.593847656, -205.857731628, 1.56163698435
-176.381303406, -205.884014893, 1.55313956738
-176.447164917, -205.623954773, 1.56385920048
-176.482328796, -205.565594482, 1.58461897373
-176.254161072, -205.650564575, 1.56291861534
-176.596633911, -205.836769104, 1.54896826744
-176.134555054, -205.66391449, 1.53988479376
-176.40819397, -205.517184448, 1.56817523241
-175.970956421, -205.51608429, 1.55147625208
-175.944793701, -205.100737, 1.54859380722
-176.246044922, -205.230763245, 1.57565071583
-176.222372437, -205.5177948, 1.55341390371
-176.234402466, -205.110501099, 1.56605062485
-176.06416626, -204.808937073, 1.56683731079
-175.950726318, -205.102642822, 1.57591203451
-175.894960022, -204.974964905, 1.55457106829
-175.41897583, -204.126133728, 1.57397907972
-175.606115723, -204.379624939, 1.56409125328
-175.729547119, -203.948202515, 1.58845015764
-175.595429993, -204.872802734, 1.55434449911
-175.540745544, -204.618287659, 1.5697250843
-175.669296265, -204.564950562, 1.55523949862
-175.671643066, -204.658921814, 1.56615264416
-175.643328857, -204.44392395, 1.56045564413
-175.637052917, -204.833843994, 1.57720615864
-175.344961548, -203.890336609, 1.57696995735
-175.334164429, -203.576036072, 1.59717060328
-175.160862732, -203.839187622, 1.56964702606
-175.368708801, -203.936581421, 1.56258459091
-175.351182556, -203.478337097, 1.58879618645
-175.420462036, -204.203274536, 1.55803097486
-175.375448608, -203.775146484, 1.57014203072
-175.44145813, -203.598350525, 1.60646532774
-175.174810791, -203.7862854, 1.58070168495
-174.992353821, -203.405311584, 1.57683104277
-175.30160675, -203.476689148, 1.57913722992
-175.405560303, -203.082365417, 1.59276731014
-175.055059814, -203.45402832, 1.58988480568
-175.057542419, -203.378071594, 1.58328061104
-175.207907104, -203.210595703, 1.58271564245
-174.95586853, -203.028115845, 1.58994545937
-174.876034546, -202.738865662, 1.5825097084
-174.805300903, -202.814544678, 1.58889921904
-174.746409607, -203.01771698, 1.57608377934
-174.675389099, -202.81164856, 1.58109796047
-174.974980164, -202.819960022, 1.58385937214
-174.657510376, -202.847720337, 1.57578134537
-174.646484375, -202.529547119, 1.59590779543
-174.567991638, -202.498432922, 1.59292621613
-174.390653992, -202.367411804, 1.6051119566
-174.507341003, -202.391625977, 1.58811324835
-174.717730713, -202.467424011, 1.58710786104
-174.482249451, -202.292764282, 1.58395009041
-174.881565857, -203.04099884, 1.57674802542
-174.474307251, -202.218856812, 1.60569455624
-174.619036865, -202.348851013, 1.59023942947
-174.510049438, -202.304910278, 1.59443174601
-174.805862427, -202.398922729, 1.58811036348
-174.394880676, -202.457220459, 1.59490458965
-174.546133423, -202.320904541, 1.59650689363
-174.175126648, -201.974655151, 1.59574633837
-174.106869507, -201.835110474, 1.60286865234
-174.516438293, -202.096315002, 1.59960907698
-174.318354797, -202.454446411, 1.5776263833
-174.267405701, -201.652571106, 1.59973552227
-174.314668274, -202.180000305, 1.5910674572
-174.203326416, -202.100750732, 1.58731648922
-174.541407776, -201.858876038, 1.60163354874
-174.23473053, -201.536029053, 1.59897265434
-174.300268555, -201.688969421, 1.58660970926
-174.080947876, -202.216244507, 1.59375983477
-174.237458801, -201.614015198, 1.59129618406
-174.151054382, -201.960159302, 1.60266550779
-174.151043701, -201.823432922, 1.60580476522
-174.032804871, -201.532965088, 1.59097492695
-173.97155304, -201.380924988, 1.60109621286
-173.869850159, -201.151986694, 1.60750155449
-173.899768066, -201.191912842, 1.5962962985
-174.021258545, -201.291778564, 1.62483922243
-173.924835205, -201.388630676, 1.60766174793
-174.034655762, -201.625811768, 1.60632907152
-173.854960632, -201.377098083, 1.60558704138
-173.736485291, -201.129371643, 1.59793856144
-173.87794342, -201.243673706, 1.6112077117
-173.675033569, -200.950160217, 1.61204413176
-173.648356628, -200.831394958, 1.6082587719
-173.829806519, -201.346958923, 1.59006640911
-173.768161011, -200.806851196, 1.62440145016
-173.694320679, -200.585881042, 1.62236139774
-173.725439453, -201.015182495, 1.61725897789
-173.867884827, -200.884236145, 1.61605833769
-173.760450745, -200.550384521, 1.61272940636
-173.853744507, -201.10917511, 1.6158995986
-173.854167175, -200.851522827, 1.64029163122
-173.877255249, -200.684431458, 1.60511834621
-173.82862854, -201.081231689, 1.60338866711
-173.902529907, -200.945483398, 1.62137066126
-173.697966003, -201.038945007, 1.59330179691
-173.898474121, -200.974188232, 1.61128549576
-173.613420105, -200.438589478, 1.60820827484
-173.389237976, -200.188938904, 1.61498353481
-173.649047852, -200.530661011, 1.61267485619
-173.603846741, -200.609336853, 1.59228167534
-173.859596252, -200.85236969, 1.59527111053
-173.587677002, -200.668177795, 1.60041650534
-173.649528503, -200.488128662, 1.60423463583
-173.694625854, -200.468417358, 1.624386549
-173.69319458, -200.621186829, 1.62115588188
-173.258976746, -199.884277344, 1.60864500999
-173.310289001, -200.113192749, 1.61775450706
-173.511268616, -199.917510986, 1.62574769258
-173.367375183, -200.131544495, 1.61234660149
-173.437153625, -200.533221436, 1.60400089025
-173.364768982, -200.531739807, 1.61674034595
-173.290995789, -200.016555786, 1.61380558014
-173.561599731, -200.127563477, 1.62514833212
-173.468397522, -200.760227966, 1.60564059019
-173.420608521, -200.258718872, 1.63284265995
-173.413691711, -199.949822998, 1.62350680828
-173.373457336, -200.389276123, 1.62214841843
-173.347427368, -199.880758667, 1.62607597113
-173.139909363, -199.994329834, 1.63543778658
-173.060762024, -199.865985107, 1.62705402374
-173.31254425, -199.650424194, 1.64091970921
-173.272802734, -200.192956543, 1.60861343145
-173.49312439, -200.411740112, 1.61151567698
-173.554528809, -199.936787415, 1.61693638563
-173.225999451, -199.933760071, 1.62214366198
-173.164080811, -199.462850952, 1.64788467884
-173.40717926, -199.897302246, 1.61280891895
-173.522267151, -199.917529297, 1.62764487267
-173.382240295, -199.517799377, 1.62515031099
-173.056497192, -199.580644226, 1.62827608585
