EUBOs, ELBOs, ESSs
-10758061728.009144, -228184644138.01447, 1.0032036805152893
-1130964.0503237916, -100600100.70103393, 1.0149788224697114
-1211.4673721313477, -21370.191490478515, 1.0471921944618225
-332.46393798828126, -663.9428695678711, 1.095614731311798
-272.38675155639646, -354.58418212890626, 1.1141030097007751
-254.18627822875976, -305.72738067626955, 1.1593089699745178
-240.15408721923828, -288.33602584838866, 1.1605932343006133
-229.9233239746094, -286.650263671875, 1.1730382931232453
-220.00610595703125, -300.1682243347168, 1.1588913190364838
-214.31488021850586, -294.44942123413085, 1.155136489868164
-211.41897842407226, -294.8583285522461, 1.1605248439311981
-208.47791702270507, -283.022216796875, 1.2017582643032074
-203.65986434936522, -265.5793571472168, 1.2127242612838744
-198.50957794189452, -243.253846282959, 1.2014848959445954
-195.93024642944337, -241.52872665405275, 1.2157480216026306
-195.20653213500975, -238.70426849365234, 1.2283743906021118
-194.3624058532715, -232.75890243530273, 1.2718365895748138
-190.12022735595704, -225.11412155151368, 1.2522292625904083
-186.18078140258788, -211.75249938964845, 1.246592562198639
-190.07039199829103, -219.26891235351562, 1.2622054970264436
-239.0982992553711, -263.8673924255371, 1.3033978605270387
-185.28973205566408, -206.7367951965332, 1.3055696511268615
-181.90734298706056, -199.9226872253418, 1.356100994348526
-180.28391189575194, -196.5288526916504, 1.3740001153945922
-179.18925827026368, -195.05770568847657, 1.4437239027023316
-178.78349716186523, -193.26113250732422, 1.4508983743190766
-177.79737045288087, -194.04676803588868, 1.3899143242835998
-177.95120529174804, -193.04540588378907, 1.4142995727062226
-177.3727249145508, -192.57576385498047, 1.410336502790451
-176.59126907348633, -192.8219366455078, 1.3881779825687408
-177.0522315979004, -191.83523040771485, 1.4269974720478058
-176.58055709838868, -190.69631408691407, 1.4016462075710296
-176.18861557006835, -189.22578002929689, 1.406818825006485
-176.26959152221679, -189.7703759765625, 1.4053265345096588
-175.8646533203125, -189.01166198730468, 1.4517978072166442
-175.73141738891601, -189.47205963134766, 1.4555723369121552
-175.27939331054688, -189.95572143554688, 1.4024767911434173
-175.29858367919923, -188.51760330200196, 1.476206796169281
-175.40213119506836, -188.20612213134766, 1.459093052148819
-174.97106338500976, -188.334481048584, 1.4301242017745972
-174.483650970459, -187.76261154174804, 1.4581816053390504
-174.29199768066405, -187.67633666992188, 1.4495932972431183
-173.94157333374022, -187.3148406982422, 1.4350741755962373
-174.2617822265625, -187.22531188964842, 1.4677975523471831
-174.16069122314454, -187.14312454223634, 1.4595827674865722
-173.5965476989746, -187.36474838256837, 1.4391443848609924
-173.7502328491211, -186.62395935058595, 1.4729634273052215
-173.54656631469726, -186.2094660949707, 1.456329048871994
-173.33068893432616, -187.38693542480468, 1.4368820023536681
