EUBOs, ELBOs, ESSs, MCKls_exclusive, TrueKls_exclusive, MCKls_inclusive, TrueKls_inclusive
-1962273.6751708984, -1943588200.2535937, 1.003493937253952, 1750263506.6112206, 620129864.5695996, -1849619.4555895997, 279088.4556427002
-6097.281754150391, -112816.68018188476, 1.0042917001247407, 76708.31856628419, 12070.367643737793, -4504.228568115234, 463320.0846740723
-1035.974213256836, -5103.00207397461, 1.015589977502823, 3405.664047241211, 590.1795687103272, -604.3245993041992, 555092.4591345214
-849.9055935668945, -2149.266740112305, 1.0160479629039765, 1364.8245465087891, 234.24899299621583, -476.8164837646484, 477435.6603808594
-803.5364236450196, -1853.795477294922, 1.026072005033493, 1169.8763555908204, 199.34763298034667, -444.4510119628906, 321847.668046875
-748.3762161254883, -1590.0458795166016, 1.027163449525833, 1013.903984375, 173.25153678894043, -406.28728851318357, 263106.5692480469
-727.2847045898437, -1618.5046130371093, 1.026057184934616, 993.5484002685547, 155.92901916503905, -397.0001556396484, 218619.6653027344
-699.70865234375, -1260.114448852539, 1.0284200060367583, 740.900244140625, 124.59687789916993, -372.8312176513672, 421051.6383276367
-719.5869705200196, -1218.2962145996094, 1.0255177843570709, 709.1968371582032, 117.747197265625, -390.0155717468262, 1466200.9710406493
-721.2126748657226, -1229.9773541259765, 1.0340075170993805, 729.9345135498047, 123.5583945465088, -391.7213162231445, 581488.5093243408
-730.3095111083984, -1303.4269024658204, 1.036669989824295, 782.4056021118164, 129.46610633850096, -398.37146362304685, 297504.9145446777
-715.4092544555664, -1257.363706665039, 1.0304395830631257, 745.0068615722656, 123.81340995788574, -387.4783723449707, 186344.91727478028
-703.8690835571289, -1162.0731170654296, 1.0349533486366271, 672.8982540893554, 110.20704330444336, -379.11732421875, 229533.1767126465
-681.3674520874024, -1150.7684606933594, 1.0383384311199189, 673.6453118896484, 111.32082782745361, -366.00682205200195, 135425.48039535523
-678.9097216796876, -1213.0645263671875, 1.0320960450172425, 706.9496398925781, 115.84628494262695, -363.6513456726074, 47811.85352684021
-660.0654937744141, -1147.1435577392579, 1.035977531671524, 679.7936834716797, 114.80392280578613, -350.55910217285157, 10357.932057342528
-648.6043634033203, -1184.6194635009765, 1.030041755437851, 697.5257168579102, 114.75545181274414, -347.55980560302737, 7037.538816871643
-640.6565551757812, -1125.62923828125, 1.0350106179714202, 652.042006225586, 108.5426000213623, -340.58362533569334, 6121.557579879761
-631.2851788330078, -1107.6350164794922, 1.0248621690273285, 645.0360461425781, 108.45032527923584, -333.9729901123047, 5997.620181121826
-628.595334777832, -1080.3564349365233, 1.0318319833278655, 617.0619305419922, 102.37045631408691, -333.276739654541, 5765.665521774292
-620.6544650268555, -1040.7546081542969, 1.0375093531608581, 599.1093692016601, 101.32130004882812, -328.4518180847168, 5389.108800048828
-618.9930380249024, -1046.2200848388673, 1.0319066417217255, 604.4821038818359, 101.06236301422119, -328.8234928894043, 3456.0986492919924
-619.1515808105469, -1002.1322497558593, 1.035336011648178, 569.2791384887695, 94.05425598144531, -326.58629608154297, 2374.1019693374633
-605.4351358032227, -994.771064453125, 1.0224214839935302, 567.3154858398437, 94.31913543701172, -317.79394287109375, 933.762751197815
-600.4000936889648, -986.8013125610352, 1.0306432902812959, 556.7224398803711, 93.03232810974121, -315.65764373779297, 321.3291609764099
-597.8963623046875, -985.2018243408203, 1.0296460282802582, 555.110505065918, 92.82235591888428, -313.89356323242185, 235.2690516090393
-593.1422396850586, -995.3562213134766, 1.0320962023735047, 562.3347708129883, 92.61610900878907, -311.11349517822265, 122.40424318313599
-585.7136001586914, -979.9388067626953, 1.0263384985923767, 555.3011001586914, 92.22709671020507, -307.23239959716796, 68.77366436004638
-579.1701181030273, -979.131357421875, 1.0253724241256714, 552.2040005493164, 91.77574180603027, -300.37529067993165, 50.24733332633972
-562.924306640625, -981.8381896972656, 1.0283621835708618, 559.6204010009766, 93.7693323135376, -292.873729095459, 43.318865146636966
-553.1939819335937, -985.9047158813477, 1.0226275110244751, 562.277774810791, 94.87765724182128, -284.14196701049804, 37.38659412384033
-547.4207827758789, -986.6327197265625, 1.0193142998218536, 558.2834921264648, 92.35347969055175, -282.93323486328126, 30.753734159469605
-544.4743176269532, -989.5195379638672, 1.0179760801792144, 561.2169094848633, 94.11472957611085, -279.0093235778809, 24.264090528488158
-543.540322265625, -981.1481311035157, 1.022808414697647, 553.9120074462891, 92.79272663116456, -279.63775024414065, 28.99404697418213
-542.7503494262695, -956.9932293701172, 1.0267083513736726, 538.3192776489258, 89.61201496124268, -277.5249055480957, 29.08127247810364
-530.175185546875, -991.2541711425781, 1.0294124960899353, 563.1631030273437, 93.78939529418945, -272.0312998962402, 19.147710647583008
-524.1314825439454, -1002.5532565307617, 1.0337930071353911, 571.353158569336, 95.41156497955322, -268.2097383880615, 16.196902861595152
-528.4756896972656, -985.8612866210938, 1.023240820169449, 563.4151098632813, 93.08657188415528, -269.3788132476807, 17.138889441490175
-526.0736538696289, -970.8574548339843, 1.026856392621994, 552.6472756958008, 92.12145801544189, -266.56782012939453, 16.804497632980347
-519.4675964355469, -957.2766680908203, 1.016270818710327, 540.8344790649414, 90.8727473449707, -263.51283309936525, 18.29944215774536
-522.7634396362305, -989.6699371337891, 1.0200246965885162, 563.8342739868164, 93.84549736022949, -269.34855056762694, 13.969601731300354
-522.413229675293, -950.3387200927734, 1.0275607573986054, 533.4656881713868, 88.70990612030029, -265.1366505432129, 15.085413851737975
-511.4837628173828, -958.9033575439453, 1.028190462589264, 539.2336584472656, 90.29629001617431, -259.3978231811523, 13.579419736862183
-519.1078579711914, -952.7288732910156, 1.0198141181468963, 534.3804266357422, 89.35913284301758, -263.0968882751465, 13.126785840988159
-511.91279083251953, -955.4115496826172, 1.0252250492572785, 536.7419015502929, 88.93878021240235, -258.5035859680176, 11.888596935272217
-507.1055639648437, -976.5655651855469, 1.0208453738689423, 553.3719360351563, 92.52612354278564, -257.37050476074216, 9.947391164302825
-507.91960845947267, -962.0050848388672, 1.0267032742500306, 543.5180863952637, 90.39199848175049, -257.95039039611817, 10.693995661735535
-495.4839752197266, -964.5881799316406, 1.0273114347457886, 547.4255920410156, 92.01090541839599, -251.92629440307618, 8.813648076057435
-498.81739501953126, -951.7990771484375, 1.0211333799362183, 533.7070288085938, 89.56693210601807, -253.55123626708985, 9.060098342895508
-501.7719778442383, -925.407451171875, 1.0234835994243623, 517.4551336669922, 87.37205326080323, -252.63585098266603, 9.950814900398255
-496.1347616577148, -947.5406018066407, 1.0253033971786498, 533.5090115356445, 90.13717010498047, -252.1326823425293, 9.516585679054261
-497.8643878173828, -940.5999072265626, 1.0233429539203645, 528.2613589477539, 88.32627529144287, -253.01018371582032, 8.494179420471191
-501.68465393066407, -972.471047668457, 1.0252277851104736, 544.657029876709, 89.57642784118653, -254.01224029541015, 8.018142011165619
-489.7006439208984, -978.511884765625, 1.0253119599819183, 552.2645324707031, 92.66726016998291, -246.92368225097655, 8.351471288204193
-488.7166073608398, -950.4948706054688, 1.0257947421073914, 531.6127807617188, 89.18601501464843, -244.81693984985353, 8.127280554771424
-490.0441552734375, -921.4234384155274, 1.0232727086544038, 514.9560198974609, 85.92243350982666, -246.52696182250978, 9.38611352443695
-484.4380804443359, -908.2845098876953, 1.0265131080150605, 505.02233123779297, 84.97250686645508, -242.30604736328124, 8.996041111946106
-485.17282135009765, -922.1945059204102, 1.022646917104721, 517.1293435668945, 85.16252838134766, -242.04395729064942, 8.916183726787567
-474.3145245361328, -946.7621978759765, 1.0267412781715393, 533.5352294921875, 89.4341397857666, -237.17722480773926, 7.064112403392792
-469.394118347168, -940.8514031982422, 1.0278326487541198, 525.4942443847656, 88.83789848327636, -233.32137397766112, 7.06883070230484
-477.4875091552734, -925.6135430908203, 1.0280811131000518, 514.7766204833985, 86.49128227233886, -235.95209259033203, 7.852981157302857
-480.16004638671876, -907.8033374023438, 1.030521879196167, 505.0445220947266, 82.92847114562989, -238.5065005493164, 9.17010202884674
-481.67042388916013, -910.5642687988282, 1.0385212779045105, 507.6174761962891, 84.10162788391114, -240.94956939697266, 10.531731128692627
-479.9793243408203, -914.5482385253906, 1.0224689662456512, 510.62397369384763, 85.59268413543701, -238.9669577026367, 11.431736531257629
-477.4889895629883, -896.8263110351562, 1.0327137589454651, 495.48938415527346, 82.45996032714844, -234.5905046081543, 10.208402090072632
-478.5665414428711, -886.7558056640624, 1.0334138560295105, 489.10908966064454, 82.18037162780762, -236.1412459564209, 8.944563860893249
-473.7439111328125, -866.506237487793, 1.026458945274353, 474.7105187988281, 79.68850456237793, -235.2444139099121, 9.843928453922272
-473.34940216064456, -882.3027215576171, 1.0215747702121734, 485.3829119873047, 80.85981712341308, -232.3720652770996, 8.184716937541962
-463.0583755493164, -880.3261212158203, 1.0209652650356293, 484.52683898925784, 80.8752543258667, -226.47634452819824, 8.176577095985413
-465.99125030517575, -873.3693859863281, 1.025370488166809, 480.9884719848633, 80.96983856201172, -227.11253456115722, 7.202368040084838
-464.11091094970703, -877.7402670288086, 1.020190657377243, 478.57902557373046, 79.31776008605956, -226.53371292114258, 9.396384692192077
-458.10434814453123, -903.8718170166015, 1.0162106263637543, 502.0391571044922, 83.3046257019043, -224.82273460388183, 7.030071818828583
-446.4968319702148, -888.7222766113281, 1.0267979097366333, 489.8743283081055, 81.82842052459716, -217.59707237243651, 6.469024133682251
-456.0102658081055, -856.89099609375, 1.021705310344696, 469.2222769165039, 79.19567443847656, -222.8519185638428, 6.828901286125183
-462.5381622314453, -888.3694152832031, 1.02321204662323, 488.2891552734375, 80.833664894104, -226.5218067932129, 6.441327052116394
-451.8688973999023, -856.3047860717774, 1.0271114003658295, 464.7270178222656, 77.46710556030274, -217.9755428314209, 6.78732894897461
-456.4532781982422, -852.6149154663086, 1.0303849577903748, 465.3779098510742, 76.95711280822754, -220.75806350708007, 7.818234415054321
-451.9385409545898, -842.2174981689453, 1.0319987511634827, 455.4722009277344, 76.02382671356202, -217.65023849487304, 8.104459488391877
-449.40815002441406, -833.403537902832, 1.0280928587913514, 452.50808990478515, 75.92578819274902, -215.1318807220459, 6.730975866317749
-445.7925817871094, -829.9087261962891, 1.0236037647724152, 449.8854962158203, 75.08053802490234, -211.0136181640625, 6.675219969749451
-442.51990509033203, -860.6286242675782, 1.0261848556995392, 467.5575875854492, 77.63346591949463, -211.744376373291, 5.751401443481445
-445.05723236083986, -817.7263958740234, 1.025500431060791, 442.2799383544922, 73.96358043670654, -212.67344795227052, 7.8520039510726924
-436.0594094848633, -836.6945071411133, 1.0278335392475129, 454.860235748291, 76.30068801879882, -207.99789840698242, 7.148904602527619
-436.4237585449219, -825.0273831176758, 1.0276816916465759, 445.6150881958008, 74.66313243865967, -208.0331346130371, 6.30924699306488
-438.0986663818359, -856.0712948608399, 1.0244723415374757, 466.8878227233887, 77.41462425231934, -210.24573318481444, 6.556316635608673
-433.39598663330077, -828.3743356323242, 1.0296889996528626, 449.39308837890627, 75.51347118377686, -209.93937698364257, 6.5755059313774105
-435.19502624511716, -815.551734008789, 1.0235635733604431, 440.93991622924807, 74.06044612884521, -206.4417116546631, 6.349184708595276
-439.20347412109373, -801.129638671875, 1.0263116979598998, 429.0714071655273, 71.04455005645752, -207.51238296508788, 7.061095733642578
-430.8512368774414, -812.733415222168, 1.0285942733287812, 437.29055450439455, 72.58874767303467, -203.941044921875, 8.305201921463013
-428.341374206543, -797.3286859130859, 1.0299722146987915, 427.4588336181641, 71.6004063796997, -202.93096008300782, 8.421066255569459
